Sl. No.,States/UTs,Number of Total Road Accidents of Two-Wheelers - 2012,Number of Fatal Road Accidents of Two-Wheelers - 2012,Number of Persons Killed from accidents of Two-Wheelers - 2012,Number of Persons Injured from accidents of Two-Wheelers - 2012,Number of Total Road Accidents of Auto-Rickshaws - 2012,Number of Fatal Road Accidents of Auto-Rickshaws - 2012,Number of Persons Killed from accidents of Auto-Rickshaws - 2012,Number of Persons Injured from accidents of Auto-Rickshaws - 2012,"Number of Total Road Accidents of Cars, Jeeps, Taxis - 2012","Number of Fatal Road Accidents of Cars, Jeeps, Taxis - 2012","Number of Persons Killed from accidents of Cars, Jeeps, Taxis - 2012","Number of Persons Injured from accidents of Cars, Jeeps, Taxis - 2012",Number of Total Road Accidents of Buses - 2012,Number of Fatal Road Accidents of Buses - 2012,Number of Persons Killed from accidents of Buses - 2012,Number of Persons Injured from accidents of Buses - 2012,"Number of Total Road Accidents of Trucks, Tempos, MAVs, Tractors - 2012","Number of Fatal Road Accidents of Trucks, Tempos, MAVs, Tractors - 2012","Number of Persons Killed from accidents of Trucks, Tempos, MAVs, Tractors - 2012","Number of Persons Injured from accidents of Trucks, Tempos, MAVs, Tractors - 2012",Number of Total Road Accidents of Other Motor Vehicles - 2012,Number of Fatal Road Accidents of Other Motor Vehicles - 2012,Number of Persons Killed from accidents of Other Motor Vehicles - 2012,Number of Persons Injured from accidents of Other Motor Vehicles - 2012,Number of Total Road Accidents of Other Vehicles/Objects - 2012,Number of Fatal Road Accidents of Other Vehicles/Objects - 2012,Number of Persons Killed from accidents of Other Vehicles/Objects - 2012,Number of Persons Injured from accidents of Other Vehicles/Objects - 2012,Two-Wheelers - Number of Road Accidents-Fatal - 2014,Two-Wheelers - Number of Road Accidents-Total - 2014,Two-Wheelers - Number of Persons-Killed - 2014,Two-Wheelers - Number of Persons-Injured - 2014,Auto-Rickshaws - Number of Road Accidents-Fatal - 2014,Auto-Rickshaws - Number of Road Accidents-Total - 2014,Auto-Rickshaws - Number of Persons-Killed - 2014,Auto-Rickshaws - Number of Persons-Injured - 2014,"Cars,Jeeps,Taxis - Number of Road Accidents - Fatal - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014","Cars, Jeeps,Taxis - Number of Persons Killed - 2014","Cars, Jeeps,Taxis - Number of Persons Injured - 2014",Buses - Number of Road Accidents - Fatal - 2014,Buses - Number of Road Accidents - Total - 2014,Buses - Number of Persons - Killed - 2014,Buses - Number of Persons - Injured - 2014,"Trucks,Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014","Trucks,Tempos,MAVs,Tractors - Number of Persons - Killed - 2014","Trucks,Tempos,MAVs,Tractors - Number of Persons - Injured - 2014",Other Motor Vehicles - Number of Road Accidents - Fatal - 2014,Other Motor Vehicles - Number of Road Accidents - Total - 2014,Other Motor Vehicles - Number of Persons - Killed - 2014,Other Motor Vehicles - Number of Persons - Injured - 2014,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014,Other Vehicles/Objects - Number of Road Accidents - Total - 2014,Other Vehicles/Objects - Number of Persons - Killed - 2014,Other Vehicles/Objects - Number of Persons - Injured - 2014,Motor Cycle/ Scooter - Number of Road Accidents - Fatal - 2016,Motor Cycle/ Scooter - Number of Road Accidents - Total - 2016,Motor Cycle/ Scooter - Number of Persons - Killed - 2016,Motor Cycle/ Scooter - Number of Persons - Greviously Injured - 2016,Motor Cycle/ Scooter - Number of Persons - Minor Injured - 2016,Moped/Scootty - Number of Road Accidents - Fatal - 2016,Moped/Scootty - Number of Road Accidents - Total - 2016,Moped/Scootty - Number of Persons - Killed - 2016,Moped/Scootty - Number of Persons - Greviously Injured - 2016,Moped/Scootty - Number of Persons - Minor Injured - 2016,Auto rickshaw - Number of Road Accidents - Fatal - 2016,Auto rickshaw - Number of Road Accidents - Total - 2016,Auto rickshaw - Number of Persons - Killed - 2016,Auto rickshaw - Number of Persons - Greviously Injured - 2016,Auto rickshaw - Number of Persons - Minor Injured - 2016,Motor Car - Number of Road Accidents - Fatal - 2016,Motor Car - Number of Road Accidents - Total - 2016,Motor Car - Number of Persons - Killed - 2016,Motor Car - Number of Persons - Greviously Injured - 2016,Motor Car - Number of Persons - Minor Injured - 2016,Jeep - Number of Road Accidents - Fatal - 2016,Jeep - Number of Road Accidents - Total - 2016,Jeep - Number of Persons - Killed - 2016,Jeep - Number of Persons - Greviously Injured - 2016,Jeep - Number of Persons - Minor Injured - 2016,Taxi - Number of Road Accidents - Fatal - 2016,Taxi - Number of Road Accidents - Total - 2016,Taxi - Number of Persons - Killed - 2016,Taxi - Number of Persons - Greviously Injured - 2016,Taxi - Number of Persons - Minor Injured - 2016,Bus - Number of Road Accidents - Fatal - 2016,Bus - Number of Road Accidents - Total - 2016,Bus - Number of Persons - Killed - 2016,Bus - Number of Persons - Greviously Injured - 2016,Bus - Number of Persons - Minor Injured - 2016,Truck/Lorry - Number of Road Accidents - Fatal - 2016,Truck/Lorry - Number of Road Accidents - Total - 2016,Truck/Lorry - Number of Persons - Killed - 2016,Truck/Lorry - Number of Persons - Greviously Injured - 2016,Truck/Lorry - Number of Persons - Minor Injured - 2016,Tempo - Number of Road Accidents - Fatal - 2016,Tempo - Number of Road Accidents - Total - 2016,Tempo - Number of Persons - Killed - 2016,Tempo - Number of Persons - Greviously Injured - 2016,Tempo - Number of Persons - Minor Injured - 2016,Articulated Vehicle/Trolly - Number of Road Accidents - Fatal - 2016,Articulated Vehicle/Trolly - Number of Road Accidents - Total - 2016,Articulated Vehicle/Trolly - Number of Persons - Killed - 2016,Articulated Vehicle/Trolly - Number of Persons - Greviously Injured - 2016,Articulated Vehicle/Trolly - Number of Persons - Minor Injured - 2016,E-Rickshaw - Number of Road Accidents - Fatal - 2016,E-Rickshaw - Number of Road Accidents - Total - 2016,E-Rickshaw - Number of Persons - Killed - 2016,E-Rickshaw - Number of Persons - Greviously Injured - 2016,E-Rickshaw - Number of Persons - Minor Injured - 2016,Tractor - Number of Road Accidents - Fatal - 2016,Tractor - Number of Road Accidents - Total - 2016,Tractor - Number of Persons - Killed - 2016,Tractor - Number of Persons - Greviously Injured - 2016,Tractor - Number of Persons - Minor Injured - 2016,Other Motor Vehicles - Number of Road Accidents - Fatal - 2016,Other Motor Vehicles - Number of Road Accidents - Total - 2016,Other Motor Vehicles - Number of Persons - Killed - 2016,Other Motor Vehicles - Number of Persons - Greviously Injured - 2016,Other Motor Vehicles - Number of Persons - Minor Injured - 2016,Other Objects* - Number of Road Accidents - Fatal - 2016,Other Objects* - Number of Road Accidents - Total - 2016,Other Objects* - Number of Persons - Killed - 2016,Other Objects* - Number of Persons - Greviously Injured - 2016,Other Objects* - Number of Persons - Minor Injured - 2016
1,Andhra Pradesh,9204,2724,2901,9639,6556,1488,1630,9163,7584,1924,2173,9294,3497,1191,1339,4321,10082,4114,4612,11947,3552,1400,1525,4004,2049,719,784,3184,1961,7239,2003,7333,950,4442,977,7173,889,3853,911,5429,550,1732,567,2242,1701,4324,1758,5144,760,1571,808,1321,466,1279,884,1289,2060,7107,2139,2027,5292,48,170,51,76,100,794,3775,841,1320,5033,853,3468,965,1076,3292,165,468,196,138,572,72,252,85,118,221,562,1667,633,458,1805,1297,3561,1497,792,2984,82,193,90,80,156,26,44,32,20,5,3,8,3,7,1,578,1265,610,330,1194,913,1788,969,540,1199,370,1049,400,206,945
2,Arunachal Pradesh,40,13,13,21,27,6,6,37,41,16,21,76,11,5,10,53,50,19,25,77,41,10,50,118,41,25,13,17,15,34,21,30,7,17,7,36,17,42,25,72,5,15,7,27,21,42,26,85,0,0,0,0,27,55,33,58,26,60,34,42,22,11,28,19,29,10,1,4,2,7,4,6,20,9,39,13,0,0,0,0,0,32,73,41,76,27,4,19,8,19,9,16,33,21,45,19,3,6,9,14,4,0,0,0,0,0,0,0,0,0,0,2,4,4,8,2,0,0,0,0,0,1,1,1,2,0
3,Assam,1278,432,457,906,286,57,53,422,1454,419,454,1447,634,192,239,1148,1694,526,652,1639,838,240,279,907,351,145,157,240,489,1508,537,1342,65,292,75,296,475,1612,533,1422,176,628,246,788,517,1766,637,1538,374,1089,401,895,73,249,93,218,650,2009,539,1375,273,69,183,75,152,43,75,346,72,411,113,458,1379,547,782,188,73,307,85,259,34,120,424,146,264,51,222,778,242,527,130,513,1068,571,519,87,135,527,147,418,100,19,86,22,57,7,2,6,6,3,7,37,87,53,73,21,0,0,0,0,0,44,120,48,90,25
4,Bihar,1803,724,733,1253,376,137,146,318,1900,857,943,1492,1285,534,601,1055,3243,1620,1754,2138,904,478,491,475,809,356,388,411,769,1750,820,1131,126,354,144,326,726,1490,786,1077,478,961,543,680,1521,2828,1639,1818,271,596,291,443,614,1577,690,1165,867,1687,948,688,402,57,142,63,65,41,199,383,216,156,131,367,681,404,299,196,252,456,264,243,112,100,175,108,96,35,466,836,566,451,248,919,1557,979,626,209,292,652,337,362,218,34,77,36,55,16,10,15,13,6,6,390,659,427,301,145,0,0,0,0,0,299,555,344,185,125
5,Chhattisgarh,3325,524,610,3688,333,33,37,338,2234,352,380,2844,747,158,190,1224,2645,747,877,2645,3725,853,927,2330,502,116,146,448,1074,4787,1126,4295,31,311,37,296,469,2978,648,3159,148,675,189,1330,940,2907,1082,2448,766,1648,786,1191,142,515,154,438,1110,4332,1158,658,3143,92,427,98,74,293,35,344,35,51,343,299,1802,325,276,1568,161,840,208,132,754,32,182,34,54,172,134,599,151,203,724,833,2658,908,362,1624,14,74,15,54,81,24,57,28,16,49,0,0,0,0,0,264,724,308,192,556,424,1162,514,195,1099,79,280,97,53,155
6,Goa,1884,121,130,879,56,2,2,36,1527,78,81,650,204,17,18,258,391,26,33,130,0,0,0,0,250,27,28,133,130,1907,134,838,2,34,2,17,60,1374,63,533,23,354,23,277,33,315,33,105,0,3,0,0,35,242,35,109,129,2064,136,131,663,0,5,0,0,2,3,36,3,4,18,62,1241,67,54,476,6,61,8,3,31,1,25,1,0,13,45,493,48,36,378,34,165,36,9,73,10,72,11,6,40,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,17,1,2,12,23,102,23,20,42
7,Gujarat,6431,1541,1698,6184,2750,533,578,3033,4995,1158,1428,5356,1275,293,374,1588,6686,1839,2030,6010,1843,623,703,1766,3969,909,1006,3713,1535,5562,1689,5123,507,2186,596,2641,1165,4415,1369,4620,364,1165,438,1372,1873,5458,2081,4450,702,1763,793,1725,917,3163,989,2562,1893,5848,2057,2692,2451,126,441,143,193,230,534,2008,635,901,1137,1126,3789,1256,1825,1919,377,1081,427,563,649,68,233,86,95,134,340,1047,468,662,694,1368,3537,1513,1459,1250,360,1050,397,491,452,91,199,96,101,102,0,0,0,0,0,162,414,177,210,211,108,260,119,126,144,630,1638,650,569,468
8,Haryana,1084,276,301,1420,389,120,180,275,2590,864,1009,2361,633,302,330,642,2825,1237,1424,2555,1249,579,550,1475,1295,585,652,724,300,1131,318,1370,129,405,180,250,898,2647,989,2281,315,644,330,617,1288,2934,1353,2432,597,1271,605,1424,687,1644,708,570,527,1638,552,325,1255,77,203,43,33,79,127,429,144,97,367,1004,2623,1079,501,2123,239,534,223,98,468,170,394,480,52,261,327,669,320,164,574,1117,2357,1165,418,1653,296,630,268,114,486,144,271,143,36,110,63,161,56,35,98,290,717,304,133,548,0,0,0,0,0,177,466,179,92,344
9,Himachal Pradesh,697,144,144,845,25,1,1,36,1114,302,486,2050,207,40,176,950,653,177,224,1097,184,63,72,252,19,5,6,18,165,814,169,1083,230,797,303,1314,204,664,444,1984,109,409,126,584,123,373,157,610,0,0,0,0,0,1,0,1,180,645,192,340,572,5,18,5,10,13,4,13,5,3,12,290,813,400,405,1455,105,271,147,126,408,8,37,13,14,64,53,177,127,194,797,110,348,120,104,338,16,53,18,30,50,0,0,0,0,0,0,0,0,0,0,34,65,37,23,58,0,0,0,0,0,195,728,207,236,512
10,Jammu & Kashmir,1144,189,191,560,176,14,16,42,314,68,73,240,1235,132,379,1123,1891,266,274,1331,1608,172,201,5645,341,22,31,814,226,1101,256,709,10,64,15,174,140,725,170,769,98,1590,105,1519,204,1364,222,1473,198,951,215,2949,10,66,9,450,130,1025,139,38,1118,6,23,6,2,20,10,87,10,2,121,83,908,117,51,1196,9,89,12,3,164,28,263,51,42,425,64,399,122,18,1066,133,698,167,34,696,45,303,72,2,575,2,15,2,0,18,0,0,0,0,0,30,148,29,8,137,194,1543,231,9,1947,0,0,0,0,0
11,Jharkhand,1341,600,626,870,288,98,106,337,748,271,294,929,520,239,283,648,1703,830,957,1387,413,218,247,268,698,284,305,535,538,1190,607,892,117,251,129,245,318,776,397,715,208,592,271,692,705,1575,826,1290,170,374,194,256,203,443,204,266,895,1141,895,435,176,192,439,192,468,109,143,266,143,305,57,251,455,251,230,139,202,444,202,249,133,159,299,159,226,72,235,324,235,149,26,251,492,251,180,13,111,298,111,81,75,30,87,30,15,5,1,16,1,6,46,101,199,11,85,3,0,0,0,0,0,100,365,534,156,309
